名前,役職,部署
佐藤 萌 ,ア ナリス ト ,しんきじ ぎ ょう
伊藤  翔,かちょ う,じんじ
高橋 拓海,エン ジニア,きぎょう
伊藤 結衣,リーダー,し んきじぎょう
鈴木 太郎,マ ネージャー,サービス
鈴木 翔 ,ぶち ょう,オペレーション
伊藤 結衣,アナリ ス ト ,しんきじ ぎょう
中村  美咲,じ む い ん,けいり 
山本 美咲,しゃち ょう,きぎょう
中 村  結衣 ,しゃちょう,ほうむ
山本 美 咲,プ ロ グラマー,きぎょう
中村 花子,デザイ ナー,そうむ 
中村 翔,リ ーダー,サ ービ ス
鈴木  美 咲,プログラマー,しんき じぎょう
田中   花子,け ん きゅういん ,けいり
伊藤 花子 ,しゃちょう,じん じ
鈴木  花子,デザ イナー,きぎょう
中 村 花子,エ ンジ ニ ア,け いり
高橋   花子 ,アナ リス ト,じん じ
田中  結衣 ,マネー ジ ャー ,けいり
山本  拓海,ぶちょう ,サポート
佐藤  拓海 ,マ ネ ージャー,ほうむ
山本 美咲,プログラ マー,サポート
田中  結衣,ぶちょう ,じんじ
高橋 美咲 ,しゃちょう,じ んじ 
伊藤 結衣,ぶちょう ,サ ポート
山本 美咲,プログ ラマー,サー ビス 
伊 藤 拓 海,けんきゅういん,プロダクト
鈴木 美咲 ,ぶちょう,マーケティング
佐藤 花子 ,し ゃちょう,そうむ
田中 結衣,デザイナー ,じんじ 
伊藤 結衣,デザイナー,そ うむ
鈴木  太郎,けんきゅう いん,そうむ
渡辺  健一,じむいん,サービ ス
田中 翔,ぶちょう,サポ ート
伊藤 萌,てんちょう ,じんじ
中 村  美咲,けんきゅう いん,サー ビス
山本  健一,しゃちょう,プロダクト 
鈴 木 拓海,ぶちょ う,マー ケティン グ
渡 辺 萌,し ゃちょう,プ ロダ クト 
佐藤 翔,じ むいん,ほ うむ
田中 健一,マネージャー ,じんじ
渡辺 健一,じむいん,セー ルス
伊藤 花子 ,デ ザイナー ,そうむ 
佐藤 結衣,けんきゅういん ,そうむ
伊 藤  美咲,ア ナリス ト,しんきじぎょう
佐藤  花子,エ ンジニア,ほう む
鈴木  美咲 ,エンジニア,サービス
山本 美咲,デザイナー,セールス
伊藤  拓海,てんちょう,マーケテ ィング
佐 藤 結衣,エン ジニア,じんじ
中村  花 子,デザイナー ,じんじ
伊藤 翔 ,マネージ ャー,プロダクト
高橋 萌,かちょ う,しん きじぎょう
伊藤  拓海,プログラ マ ー,サービ ス 
佐藤 翔 ,エンジ ニア ,オペレーシ ョン 
渡辺 萌,け んきゅういん,じん じ
渡 辺 花子,ぶち ょう,じんじ 
山 本 花子 ,てんちょ う,プロ ダクト
伊藤  萌,けんき ゅ ういん,けい り
高 橋  拓海,しゃ ちょう ,マー ケティ ング
高橋 拓 海,ぶち ょう,マーケティング
鈴木 萌,デザイナー ,サービス
渡 辺 健 一,プログラマー,オペレーション
山本   美咲 ,リ ー ダー ,けいり 
田中 健一,デザイナー,じんじ 
佐藤 拓海,アナリス ト ,ほ うむ
田中 翔 ,デザイナー,セ ールス
田中 太郎,ぶちょう,セー ルス 
鈴木  美 咲,アナ リスト,プロダクト
高橋 結 衣,アナリスト,じんじ
中 村 花子,マネージャー ,セールス
渡辺  太郎,プログラ マー,しんきじぎょ う
伊 藤 結衣,けんきゅういん,サポート
田中  花子,アナリ スト,ほ うむ 
鈴木 翔,ぶち ょう,きぎょう
山本  結 衣,かちょ う,しんきじぎ ょう 
伊藤 萌,しゃちょう,ほ うむ
田 中 翔,プログラマ ー ,そうむ 
渡辺 美咲,エンジ ニア,き ぎょう
鈴木  美咲,じむいん,じんじ
田中  翔,マ ネージャ ー,そうむ 
渡辺 萌,かちょう,しん きじぎょう
中村 花子 ,し ゃちょう,きぎ ょう
渡辺  健 一 ,じむ いん ,しんき じぎょう
山本 萌,しゃち ょ う ,サ ポート
中村 翔,けん きゅういん,プロダクト
佐藤 拓海,けん きゅういん,マーケティング
田中 健 一,じむいん ,しんきじぎょう
田中 翔,エン ジニア,マーケ ティング 
渡辺 拓 海,リー ダー,マー ケテ ィ ング
中村  健一,かちょ う,セールス
佐藤  花子,し ゃちょう,サービス
田中 萌,リ ーダー,じんじ
田中  花子 ,デザイナー,そう む
鈴木 結衣,アナリスト,しん きじぎ ょう
鈴 木  花 子,リーダー,サービス
中村 太郎,プログラマー,セールス
中 村 翔 ,しゃち ょう,じん じ 
佐藤  健一,ぶちょう,きぎょう
